State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,APC,LP,PDP,NNPP,Latitude,Longitude,HDBSCAN_Cluster,color,APC_Local_Moran_I,APC_Getis_Ord_Gi,LP_Local_Moran_I,LP_Getis_Ord_Gi,PDP_Local_Moran_I,PDP_Getis_Ord_Gi,NNPP_Local_Moran_I,NNPP_Getis_Ord_Gi,Iso_Label,Iso_Score,APC_Moran_norm,APC_Gi_norm,LP_Moran_norm,LP_Gi_norm,PDP_Moran_norm,PDP_Gi_norm,NNPP_Moran_norm,NNPP_Gi_norm,APC_Composite,LP_Composite,PDP_Composite,NNPP_Composite,Global_Composite_Score,Total_Votes,APC_z_score,PDP_z_score,LP_z_score,NNPP_z_score,Accredited_Ratio
OYO,AFIJIO,ILORA I,30-01-01-003,BODE OPEN SPACE II,251,778,True,127.0,24.0,66.0,1.0,7.8055739,3.8706208,-1,gray,0.1782722572099378,0.14853260043599487,0.07397077586768176,0.24044752961313937,-0.529282717753989,-0.3456597026657992,0.0026522637315227597,0.03755924463475316,1,0,0.22391659190367005,0.35298466804243445,0.13616267590156517,0.20254775522642648,0.12678522265271938,0.16534140223741,0.17012689337429676,0.05681895260923153,0.5769012599461045,0.33871043112799165,0.2921266248901294,0.2269458459835283,0.35867104048693843,218.0,2.483599294963051,-5.838178741481961,73.02333737456041,2.438815935556293,0.8685258964143426
OYO,AFIJIO,ILORA I,30-01-01-004,BODE OPEN SPACE II,251,778,True,138.0,12.0,45.0,0.0,7.8055739,3.8706208,-1,gray,0.17059934626194573,0.11869537985676197,-0.04599095069670083,0.2980787379423765,-0.1532561239846116,-0.23575591584944852,-0.013721460318341677,0.07060012492267669,1,0,0.22326750806818021,0.3449152148091036,0.13161670775748713,0.21624680682489694,0.1458290755455136,0.1912004381133264,0.1694497914005073,0.06472875104107248,0.5681827228772838,0.34786351458238407,0.33702951365884004,0.2341785424415798,0.3718135733900219,195.0,5.843458448958069,-7.53199750279898,38.46837276698487,-0.3383866676216416,0.7768924302788844
OYO,AFIJIO,ILORA II,30-01-02-001,AKINDELE OPEN SPACE I,167,471,True,104.0,8.0,43.0,0.0,7.7625429,3.8299106,164,green,0.4117184091085462,0.5860804728439335,-0.18537065140184303,0.6012423153544033,0.20450400214424252,0.3616023926585854,-0.007291175008099586,0.03749145228689785,1,0,0.24366478456246113,0.47131915179112316,0.1263348924862085,0.2883093855933061,0.16394782386224568,0.3317516454734341,0.1697157027388403,0.05680272350752225,0.7149839363535843,0.4146442780795146,0.49569946933567977,0.22651842624636254,0.4629615275037853,155.0,4.295330809027346,-5.553617063044427,28.720454674535084,-0.3016906057173712,0.9281437125748503
OYO,AFIJIO,ILORA II,30-01-02-002,AKINDELE OPEN SPACE II,209,603,True,110.0,18.0,49.0,0.0,7.7625429,3.8299106,164,green,0.46777852412615384,0.5616610077632561,0.030262287164939623,0.39439029820934784,0.16693233897534765,0.20447164325193387,-0.007291175008099586,0.03749145228689785,1,0,0.24840714567159838,0.4647149263429715,0.1345063359758321,0.23914025417531626,0.1620450083747728,0.29478067473785863,0.1697157027388403,0.05680272350752225,0.7131220720145699,0.3736465901511483,0.4568256831126314,0.22651842624636254,0.44252819288117806,177.0,3.2729658093513385,-5.9501897722614725,60.758042287115,-0.3223907488799812,0.84688995215311
OYO,AFIJIO,ILORA II,30-01-02-003,AKINDELE OPEN SPACE II,209,603,True,132.0,11.0,59.0,0.0,7.7625429,3.8299106,164,green,0.7363751064653861,0.5618577562902834,-0.0760237253936368,0.3943227402435712,0.2525504907334219,0.20460179956593552,-0.007291175008099586,0.03749145228689785,1,0,0.271128861203803,0.46476813682996576,0.13047861112483095,0.23912419551394354,0.16638113649456665,0.2948112989491869,0.1697157027388403,0.05680272350752225,0.7358969980337687,0.3696028066387745,0.46119243544375355,0.22651842624636254,0.44830266659066487,202.0,4.405989181066328,-5.92323753399484,34.61003181392724,-0.34440672466158845,0.9665071770334929
OYO,AFIJIO,ILORA II,30-01-02-004,BAPTIST GRAMMAR SCHOOL I,285,762,True,133.0,69.0,44.0,2.0,7.7625429,3.8299106,164,green,0.6760874031655395,0.5074865521550709,0.627885904250122,0.3084308948001139,0.21647106231305335,0.35637524991479613,-0.009621281892118758,-0.02859026741701307,1,0,0.26602887060623465,0.45006348671539187,0.15715337518762482,0.21870753487591127,0.1645538951805786,0.33052176181195436,0.16961934591949332,0.04098313642834891,0.7160923573216265,0.37586091006353606,0.495075656992533,0.21060248234784223,0.4494078516813845,248.0,1.1913872047786704,-10.174436138954784,197.3680579624494,4.862394018479422,0.8701754385964913
OYO,AFIJIO,ILORA II,30-01-02-005,BAPTIST GRAMMAR SCHOOL I,285,762,True,113.0,51.0,73.0,0.0,7.7625429,3.8299106,164,green,0.5044053308087765,0.5616858902924856,0.5313249177982285,0.39480790414018696,0.3724159031947259,0.20479959697050762,-0.007291175008099586,0.03749145228689785,1,0,0.2515055614259899,0.4647216558037607,0.1534941817019803,0.2392395199266382,0.17245171586227803,0.29485783829354584,0.1697157027388403,0.05680272350752225,0.7162272172297506,0.3927337016286185,0.46730955415582387,0.22651842624636254,0.45069722481513885,237.0,-0.667234614320958,-5.92518593567458,149.15042857167404,-0.373052634131355,0.8315789473684211
OYO,AFIJIO,ILORA II,30-01-02-006,BAPTIST GRAMMAR SCHOOL I,285,762,True,0.0,0.0,0.0,0.0,7.7625429,3.8299106,164,green,-1.3540938062841552,0.8684502925668205,-0.39430868236187044,0.63968830403134,-0.7256669625792086,0.5865572901345508,-0.007291175008099586,0.03749145228689785,1,0,0.09428729624143976,0.5476858511861671,0.11841715355369227,0.29744807273709756,0.11683934985839328,0.3846808204618673,0.1697157027388403,0.05680272350752225,0.6419731474276068,0.4158652262907898,0.5015201703202605,0.22651842624636254,0.44646924257125487,0.0,,,,,0.0
OYO,AFIJIO,ILORA II,30-01-02-007,ELEKAARA MARKET O/SPACE,291,1046,True,159.0,49.0,45.0,0.0,7.7883364,3.9189515,-1,gray,0.0852517596924746,0.04540436289928223,0.7638323007249781,0.6017645438182828,-0.3302673444292537,-0.5082471122856681,0.031290536853352965,-0.16116058352777513,1,0,0.21604759645760543,0.32509371594693154,0.16230508486517117,0.288433520326557,0.13686434885230211,0.12708654514719908,0.17131117076883812,0.009246558306220856,0.541141312404537,0.45073860519172815,0.2639508939995012,0.18055772907505896,0.35909713516770636,253.0,4.135400214684377,-10.26229286990831,138.66086570538525,-0.38543948154117347,0.8694158075601375
OYO,AFIJIO,ILORA II,30-01-02-009,MAFIKUYOMI OPEN SPACE I,225,647,True,121.0,30.0,39.0,2.0,7.7078582,3.8496653,184,orange,0.5641765222807119,0.5264104902634776,0.0620838302365448,0.11537938526289258,0.11260616060405058,0.28295130442253696,-0.009621281892118754,-0.02859026741701307,1,0,0.2565618581138271,0.4551814511434365,0.13571221826214017,0.17281881126621818,0.15929366108638074,0.31324599274488535,0.16961934591949332,0.04098313642834891,0.7117433092572636,0.3085310295283583,0.47253965383126606,0.21060248234784223,0.42585411874118256,192.0,3.651025523241919,-8.239934206391231,97.39217864982169,5.624118393379575,0.8533333333333334
